id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
397,46,Graduate,N/A,Thesis,CEM 610,0,0,0,0
398,46,Graduate,N/A,Research Seminar,CEM 599,0,0,0,0
399,46,Graduate,N/A,Construction Robotics and Autonomous Systems,CEM 530,0,0,0,0
400,46,Graduate,N/A,Elective,XXX 5xx,0,0,0,0
401,46,Graduate,N/A,Thesis,CEM 610,0,0,0,0
402,46,Graduate,N/A,Construction Contracting & Leadership,CEM 520,0,0,0,0
403,46,Graduate,N/A,CEM Elective,CEM 5xx,0,0,0,0
404,46,Graduate,N/A,Project Planning and Control,CEM 510,0,0,0,0
405,46,Graduate,N/A,Statistical Analysis in Planning,CRP 505,0,0,0,0
406,46,Graduate,N/A,Cost Engineering and Machine Learning Applications,CEM 511,0,0,0,0
407,46,Graduate,N/A,CEM Elective,CEM 5xx,0,0,0,0
408,46,Graduate,N/A,Thesis,CEM 610,0,0,0,0
409,46,Graduate,N/A,Research Seminar,CEM 599,0,0,0,0
410,46,Graduate,N/A,Construction Robotics and Autonomous Systems,CEM 530,0,0,0,0
411,46,Graduate,N/A,Elective,XXX 5xx,0,0,0,0
412,46,Graduate,N/A,Thesis,CEM 610,0,0,0,0
413,46,Graduate,N/A,ARE 530,Building Science,0,0,0,0
414,46,Graduate,N/A,EM 621,Design of Experiments and Engineering Simulation,0,0,0,0
415,46,Graduate,N/A,CEM 519,Sustainable Construction and Carbon Management,0,0,0,0
416,46,Graduate,N/A,ARE 632,Integrated Building Systems,0,0,0,0
417,46,Graduate,N/A,CEM 547,"BIM, Lean Construction & Digital Transformation",0,0,0,0
418,46,Graduate,N/A,AECM 699,Seminar,0,0,0,0
419,46,Graduate,N/A,AECM 711,PhD. Pre-Dissertation,0,0,0,0
420,46,Graduate,N/A,AECM 712,PhD. Dissertation,0,0,0,0
421,46,Graduate,N/A,XXX 5XX/6XX,AECM Elective,0,0,0,0
422,46,Graduate,N/A,XXX 5XX/6XX,Free Elective,0,0,0,0
423,46,Graduate,N/A,Building Science,ARE 530,0,0,0,0
424,46,Graduate,N/A,Design of Experiments and Engineering Simulation,EM 621,0,0,0,0
425,46,Graduate,N/A,Sustainable Construction and Carbon Management,CEM 519,0,0,0,0
426,46,Graduate,N/A,Integrated Building Systems,ARE 632,0,0,0,0
427,46,Graduate,N/A,"BIM, Lean Construction & Digital Transformation",CEM 547,0,0,0,0
428,46,Graduate,N/A,AECM Elective,XXX 5XX/6XX,0,0,0,0
429,46,Graduate,N/A,AECM Elective,XXX 5XX/6XX,0,0,0,0
430,46,Graduate,N/A,AECM Elective,XXX 5XX/6XX,0,0,0,0
431,46,Graduate,N/A,Free Elective,XXX 5XX/6XX,0,0,0,0
432,46,Graduate,N/A,Seminar,AECM 699,0,0,0,0
433,46,Graduate,N/A,Free Elective,XXX 6XX/7XX,0,0,0,0
434,46,Graduate,N/A,PhD. Pre-Dissertation,AECM 711,0,0,0,0
435,46,Graduate,N/A,PhD. Dissertation,AECM 712,0,0,0,0
436,46,Graduate,N/A,PhD. Dissertation,AECM 712,0,0,0,0
437,46,Graduate,N/A,PhD. Dissertation,AECM 712,0,0,0,0
438,46,Graduate,N/A,PhD. Dissertation,AECM 712,0,0,0,0
439,46,Graduate,N/A,Building Science,ARE 530,0,0,0,0
440,46,Graduate,N/A,Design of Experiments and Engineering Simulation,EM 621,0,0,0,0
441,46,Graduate,N/A,Sustainable Construction and Carbon Management,CEM 519,0,0,0,0
442,46,Graduate,N/A,Integrated Building Systems,ARE 632,0,0,0,0
443,46,Graduate,N/A,"BIM, Lean Construction & Digital Transformation",CEM 547,0,0,0,0
